	name	ID	adress	coordinates_lat	coordinates_lng	rating	rating_n	time_spend	types	pt_Monday 0:00	pt_Monday 1:00	pt_Monday 2:00	pt_Monday 3:00	pt_Monday 4:00	pt_Monday 5:00	pt_Monday 6:00	pt_Monday 7:00	pt_Monday 8:00	pt_Monday 9:00	pt_Monday 10:00	pt_Monday 11:00	pt_Monday 12:00	pt_Monday 13:00	pt_Monday 14:00	pt_Monday 15:00	pt_Monday 16:00	pt_Monday 17:00	pt_Monday 18:00	pt_Monday 19:00	pt_Monday 20:00	pt_Monday 21:00	pt_Monday 22:00	pt_Monday 23:00	pt_Tuesday 0:00	pt_Tuesday 1:00	pt_Tuesday 2:00	pt_Tuesday 3:00	pt_Tuesday 4:00	pt_Tuesday 5:00	pt_Tuesday 6:00	pt_Tuesday 7:00	pt_Tuesday 8:00	pt_Tuesday 9:00	pt_Tuesday 10:00	pt_Tuesday 11:00	pt_Tuesday 12:00	pt_Tuesday 13:00	pt_Tuesday 14:00	pt_Tuesday 15:00	pt_Tuesday 16:00	pt_Tuesday 17:00	pt_Tuesday 18:00	pt_Tuesday 19:00	pt_Tuesday 20:00	pt_Tuesday 21:00	pt_Tuesday 22:00	pt_Tuesday 23:00	pt_Wednesday 0:00	pt_Wednesday 1:00	pt_Wednesday 2:00	pt_Wednesday 3:00	pt_Wednesday 4:00	pt_Wednesday 5:00	pt_Wednesday 6:00	pt_Wednesday 7:00	pt_Wednesday 8:00	pt_Wednesday 9:00	pt_Wednesday 10:00	pt_Wednesday 11:00	pt_Wednesday 12:00	pt_Wednesday 13:00	pt_Wednesday 14:00	pt_Wednesday 15:00	pt_Wednesday 16:00	pt_Wednesday 17:00	pt_Wednesday 18:00	pt_Wednesday 19:00	pt_Wednesday 20:00	pt_Wednesday 21:00	pt_Wednesday 22:00	pt_Wednesday 23:00	pt_Thursday 0:00	pt_Thursday 1:00	pt_Thursday 2:00	pt_Thursday 3:00	pt_Thursday 4:00	pt_Thursday 5:00	pt_Thursday 6:00	pt_Thursday 7:00	pt_Thursday 8:00	pt_Thursday 9:00	pt_Thursday 10:00	pt_Thursday 11:00	pt_Thursday 12:00	pt_Thursday 13:00	pt_Thursday 14:00	pt_Thursday 15:00	pt_Thursday 16:00	pt_Thursday 17:00	pt_Thursday 18:00	pt_Thursday 19:00	pt_Thursday 20:00	pt_Thursday 21:00	pt_Thursday 22:00	pt_Thursday 23:00	pt_Friday 0:00	pt_Friday 1:00	pt_Friday 2:00	pt_Friday 3:00	pt_Friday 4:00	pt_Friday 5:00	pt_Friday 6:00	pt_Friday 7:00	pt_Friday 8:00	pt_Friday 9:00	pt_Friday 10:00	pt_Friday 11:00	pt_Friday 12:00	pt_Friday 13:00	pt_Friday 14:00	pt_Friday 15:00	pt_Friday 16:00	pt_Friday 17:00	pt_Friday 18:00	pt_Friday 19:00	pt_Friday 20:00	pt_Friday 21:00	pt_Friday 22:00	pt_Friday 23:00	pt_Saturday 0:00	pt_Saturday 1:00	pt_Saturday 2:00	pt_Saturday 3:00	pt_Saturday 4:00	pt_Saturday 5:00	pt_Saturday 6:00	pt_Saturday 7:00	pt_Saturday 8:00	pt_Saturday 9:00	pt_Saturday 10:00	pt_Saturday 11:00	pt_Saturday 12:00	pt_Saturday 13:00	pt_Saturday 14:00	pt_Saturday 15:00	pt_Saturday 16:00	pt_Saturday 17:00	pt_Saturday 18:00	pt_Saturday 19:00	pt_Saturday 20:00	pt_Saturday 21:00	pt_Saturday 22:00	pt_Saturday 23:00	pt_Sunday 0:00	pt_Sunday 1:00	pt_Sunday 2:00	pt_Sunday 3:00	pt_Sunday 4:00	pt_Sunday 5:00	pt_Sunday 6:00	pt_Sunday 7:00	pt_Sunday 8:00	pt_Sunday 9:00	pt_Sunday 10:00	pt_Sunday 11:00	pt_Sunday 12:00	pt_Sunday 13:00	pt_Sunday 14:00	pt_Sunday 15:00	pt_Sunday 16:00	pt_Sunday 17:00	pt_Sunday 18:00	pt_Sunday 19:00	pt_Sunday 20:00	pt_Sunday 21:00	pt_Sunday 22:00	pt_Sunday 23:00	tw_Monday 0:00	tw_Monday 1:00	tw_Monday 2:00	tw_Monday 3:00	tw_Monday 4:00	tw_Monday 5:00	tw_Monday 6:00	tw_Monday 7:00	tw_Monday 8:00	tw_Monday 9:00	tw_Monday 10:00	tw_Monday 11:00	tw_Monday 12:00	tw_Monday 13:00	tw_Monday 14:00	tw_Monday 15:00	tw_Monday 16:00	tw_Monday 17:00	tw_Monday 18:00	tw_Monday 19:00	tw_Monday 20:00	tw_Monday 21:00	tw_Monday 22:00	tw_Monday 23:00	tw_Tuesday 0:00	tw_Tuesday 1:00	tw_Tuesday 2:00	tw_Tuesday 3:00	tw_Tuesday 4:00	tw_Tuesday 5:00	tw_Tuesday 6:00	tw_Tuesday 7:00	tw_Tuesday 8:00	tw_Tuesday 9:00	tw_Tuesday 10:00	tw_Tuesday 11:00	tw_Tuesday 12:00	tw_Tuesday 13:00	tw_Tuesday 14:00	tw_Tuesday 15:00	tw_Tuesday 16:00	tw_Tuesday 17:00	tw_Tuesday 18:00	tw_Tuesday 19:00	tw_Tuesday 20:00	tw_Tuesday 21:00	tw_Tuesday 22:00	tw_Tuesday 23:00	tw_Wednesday 0:00	tw_Wednesday 1:00	tw_Wednesday 2:00	tw_Wednesday 3:00	tw_Wednesday 4:00	tw_Wednesday 5:00	tw_Wednesday 6:00	tw_Wednesday 7:00	tw_Wednesday 8:00	tw_Wednesday 9:00	tw_Wednesday 10:00	tw_Wednesday 11:00	tw_Wednesday 12:00	tw_Wednesday 13:00	tw_Wednesday 14:00	tw_Wednesday 15:00	tw_Wednesday 16:00	tw_Wednesday 17:00	tw_Wednesday 18:00	tw_Wednesday 19:00	tw_Wednesday 20:00	tw_Wednesday 21:00	tw_Wednesday 22:00	tw_Wednesday 23:00	tw_Thursday 0:00	tw_Thursday 1:00	tw_Thursday 2:00	tw_Thursday 3:00	tw_Thursday 4:00	tw_Thursday 5:00	tw_Thursday 6:00	tw_Thursday 7:00	tw_Thursday 8:00	tw_Thursday 9:00	tw_Thursday 10:00	tw_Thursday 11:00	tw_Thursday 12:00	tw_Thursday 13:00	tw_Thursday 14:00	tw_Thursday 15:00	tw_Thursday 16:00	tw_Thursday 17:00	tw_Thursday 18:00	tw_Thursday 19:00	tw_Thursday 20:00	tw_Thursday 21:00	tw_Thursday 22:00	tw_Thursday 23:00	tw_Friday 0:00	tw_Friday 1:00	tw_Friday 2:00	tw_Friday 3:00	tw_Friday 4:00	tw_Friday 5:00	tw_Friday 6:00	tw_Friday 7:00	tw_Friday 8:00	tw_Friday 9:00	tw_Friday 10:00	tw_Friday 11:00	tw_Friday 12:00	tw_Friday 13:00	tw_Friday 14:00	tw_Friday 15:00	tw_Friday 16:00	tw_Friday 17:00	tw_Friday 18:00	tw_Friday 19:00	tw_Friday 20:00	tw_Friday 21:00	tw_Friday 22:00	tw_Friday 23:00	tw_Saturday 0:00	tw_Saturday 1:00	tw_Saturday 2:00	tw_Saturday 3:00	tw_Saturday 4:00	tw_Saturday 5:00	tw_Saturday 6:00	tw_Saturday 7:00	tw_Saturday 8:00	tw_Saturday 9:00	tw_Saturday 10:00	tw_Saturday 11:00	tw_Saturday 12:00	tw_Saturday 13:00	tw_Saturday 14:00	tw_Saturday 15:00	tw_Saturday 16:00	tw_Saturday 17:00	tw_Saturday 18:00	tw_Saturday 19:00	tw_Saturday 20:00	tw_Saturday 21:00	tw_Saturday 22:00	tw_Saturday 23:00	tw_Sunday 0:00	tw_Sunday 1:00	tw_Sunday 2:00	tw_Sunday 3:00	tw_Sunday 4:00	tw_Sunday 5:00	tw_Sunday 6:00	tw_Sunday 7:00	tw_Sunday 8:00	tw_Sunday 9:00	tw_Sunday 10:00	tw_Sunday 11:00	tw_Sunday 12:00	tw_Sunday 13:00	tw_Sunday 14:00	tw_Sunday 15:00	tw_Sunday 16:00	tw_Sunday 17:00	tw_Sunday 18:00	tw_Sunday 19:00	tw_Sunday 20:00	tw_Sunday 21:00	tw_Sunday 22:00	tw_Sunday 23:00
0	The Pineapple	ChIJe83jXp8FdkgRc6SEEt90Nc4	25 Wilfred Street, London	51.49865949999999	-0.139549	4.6	97	[60, 150]	['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']	0	0	0	0	0	0	0	0	0	0	0	0	11	14	14	16	22	26	31	26	22	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	15	19	28	42	62	66	59	41	25	13	0	0	0	0	0	0	0	0	0	0	0	0	0	11	17	21	30	48	69	70	62	42	27	14	0	0	0	0	0	0	0	0	0	0	0	0	0	25	34	40	45	63	88	100	84	60	36	16	0	0	0	0	0	0	0	0	0	0	0	0	0	15	25	37	47	52	55	51	45	35	30	22	0	0	0	0	0	0	0	0	0	0	0	0	0	12	25	33	37	38	34	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																								
1	Cask & Glass	ChIJkW9_UN8EdkgROfPC_rmtbWg	39-41 Palace Street, London	51.4985343	-0.1402455	4.4	537	noData for time spend	['bar', 'point_of_interest', 'establishment']	0	0	0	0	0	0	0	0	0	0	0	0	16	16	14	15	17	24	20	22	20	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	7	17	35	49	69	67	60	35	25	16	0	0	0	0	0	0	0	0	0	0	0	0	0	26	31	24	39	47	67	71	66	44	24	10	0	0	0	0	0	0	0	0	0	0	0	0	0	12	26	32	43	67	97	100	82	51	29	14	0	0	0	0	0	0	0	0	0	0	0	0	0	32	46	48	44	47	60	66	52	32	20	21	0	0	0	0	0	0	0	0	0	0	0	0	0	15	17	24	29	44	50	44	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																								
2	The Old Star	ChIJW6nd7dsEdkgRWds6E0lO3N8	66 Broadway, London	51.4999163	-0.1336971	4.0	1525	noData for time spend	['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']	0	0	0	0	0	0	0	0	0	0	0	11	26	34	36	38	42	43	37	26	15	7	3	0	0	0	0	0	0	0	0	0	0	0	0	19	32	36	36	37	46	63	68	56	35	20	13	0	0	0	0	0	0	0	0	0	0	0	0	17	30	35	44	48	58	71	73	59	44	26	19	0	0	0	0	0	0	0	0	0	0	0	0	14	26	38	42	48	65	85	100	90	65	40	20	0	0	0	0	0	0	0	0	0	0	0	0	31	52	59	52	46	47	50	50	43	30	18	10	6	0	0	0	0	0	0	0	0	0	0	0	24	47	58	57	51	45	30	16	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	43	47	43	35	26	16	10	6	2	0	0	0																																																																																																																																																																								
3	Chez Antoinette Victoria	ChIJ-SetlWEFdkgRfEt3-moto_4	22 Palmer Street, London	51.4982576	-0.1354101	4.7	1436	[60, 120]	['cafe', 'bar', 'restaurant', 'point_of_interest', 'food', 'establishment']	0	0	0	0	0	0	0	0	24	47	58	73	78	75	59	44	34	35	41	43	32	17	0	0	0	0	0	0	0	0	0	0	30	39	46	63	89	100	78	60	48	53	53	48	28	13	0	0	0	0	0	0	0	0	0	0	35	42	49	60	82	85	69	55	50	55	58	57	50	34	0	0	0	0	0	0	0	0	0	0	27	42	58	75	96	97	70	44	34	41	53	55	43	24	0	0	0	0	0	0	0	0	0	0	28	48	60	75	82	77	60	42	37	38	41	48	46	34	0	0	0	0	0	0	0	0	0	0	0	25	39	56	60	54	50	42	42	42	47	48	39	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	15.0	15.0	15.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	15.0	15.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	15.0	15.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	Adam & Eve	ChIJcUSNUdkEdkgRKdEcw6AVPLc	81 Petty France, London	51.499492	-0.1356464	4.4	1035	noData for time spend	['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']	0	0	0	0	0	0	0	0	0	0	0	0	52	53	47	49	56	66	67	58	42	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	60	70	72	70	66	65	55	40	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	63	60	71	78	96	100	91	66	47	26	0	0	0	0	0	0	0	0	0	0	0	0	0	58	76	77	73	79	93	94	85	63	41	26	0	0	0	0	0	0	0	0	0	0	0	0	0	56	67	67	72	76	81	75	70	44	28	10	0	0	0	0	0	0	0	0	0	0	0	0	0	60	77	78	71	67	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	63	56	44	35	21	0	0	0	0	0	0																																																																																																																																																																								
5	Buckingham Arms	ChIJAcms1N4EdkgRFIKe6so6Nns	62 Petty France, London	51.4991812	-0.1368225	4.4	1188	noData for time spend	['bar', 'point_of_interest', 'establishment']	0	0	0	0	0	0	0	0	0	0	0	16	31	36	35	31	31	36	42	48	46	36	28	0	0	0	0	0	0	0	0	0	0	0	0	27	47	58	52	42	42	59	62	53	38	28	19	0	0	0	0	0	0	0	0	0	0	0	0	22	33	41	44	49	54	62	66	61	55	45	33	0	0	0	0	0	0	0	0	0	0	0	0	25	42	51	60	66	77	96	100	87	68	52	30	0	0	0	0	0	0	0	0	0	0	0	0	33	60	71	61	57	54	57	59	50	39	23	13	0	0	0	0	0	0	0	0	0	0	0	0	31	50	66	70	66	63	56	58	49	39	24	19	0	0	0	0	0	0	0	0	0	0	0	0	0	51	61	63	55	50	45	42	31	21	11	0	0																																																																																																																																																																								
6	The Feathers	ChIJxRWiidsEdkgRdtrjZ0-Su7Q	18-20 Broadway, Greater, London	51.49924899999999	-0.1331435	4.2	1793	[45, 150]	['bar', 'point_of_interest', 'establishment']	0	0	0	0	0	0	0	0	0	0	0	0	17	18	20	22	29	35	31	20	16	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	14	22	21	24	41	58	61	50	36	27	16	0	0	0	0	0	0	0	0	0	0	0	0	0	22	27	29	31	47	64	64	49	33	24	11	0	0	0	0	0	0	0	0	0	0	0	0	11	23	29	29	39	64	90	100	84	59	37	21	0	0	0	0	0	0	0	0	0	0	0	0	15	34	41	46	49	53	55	47	44	31	22	16	0	0	0	0	0	0	0	0	0	0	0	0	16	26	36	42	37	30	25	26	19	18	15	12	0	0	0	0	0	0	0	0	0	0	0	0	0	21	20	16	11	8	7	11	17	25	21	13	0																																																																																																																																																																								
7	The Hamptons Bar	ChIJ9xo71t4EdkgRpWd7Kj3MGIQ	A Taj Hotel, St. James' Court, 54 Buckingham Gate, London	51.4985984	-0.1372778	4.3	27	noData for time spend	['bar', 'lodging', 'point_of_interest', 'establishment']	25	19	16	11	22	13	33	30	44	19	11	8	11	22	33	36	36	13	5	0	2	5	13	11	22	30	58	38	16	33	36	19	11	2	2	0	0	0	11	36	80	100	66	33	22	13	16	8	2	0	0	5	0	0	0	0	0	0	2	0	0	2	8	2	0	0	5	13	27	25	13	8	5	0	0	0	19	8	2	2	8	19	25	27	41	38	38	41	16	11	11	22	27	19	27	41	55	33	19	11	38	22	16	33	38	33	16	16	13	25	47	47	22	5	0	0	0	0	2	5	13	19	38	52	19	13	2	0	0	2	5	19	25	44	19	16	11	25	16	22	22	38	72	75	50	27	19	33	8	13	13	8	16	27	33	19	16	25	11	13	25	44	52	25	8	11	22	44																																																																																																																																																																								
